
HF/EdG Bloemenexport     ;;;;Date;09.05.16;;;
Postbus 524              ;;;;Invoice;16035102;;;
2675 ZT Honselersdijk    ;;;;Route;0321;0068;;
The Netherlands (NL);;;;Debno;060233;;;
NL007056011B01 ;;;;Debcode;IGF   ;H;;
;
;
;;;;Consegna            ;01IGF ;;;
Ingrosso Fiori Gambin SRL     ;;;;Ingrosso Fiori Gambin         ;;;;
Via dei Pestagalli 27         ;;;;                              ;;;;
20138 Milano                   ;;;;                               ;;;;
Italie              (IT);;;;Italie              (IT);;;;
IT09049900153   ;;;;                ;;;;
;
;
Artno;Description;;;Collis;Qual;Lng;Emb;Eenh;Quant;Price;Curr;Total;Barcode;Bunch;Color;VBN;Country;Statistics;Description;Gross;Net;Retail
     ;Codice               0IGF04                                                                            ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44691;Rosa Aqua!                    ;;;"  18-18  ";0000000001;050-A1-020;"V9  "    ; st.; 00040;0000,45;EUR  ;0000018,00;                      ;020;3;0017075;NL  ;06031100;Roses               ; 0000002,0; 0000002,0;0000,83;Van Wijk Rozen
80661;Rosa Cuba Libre               ;;;"  19-19  ";0000000001;050-A1-010;"V9  "    ; st.; 00010;0000,38;EUR  ;0000003,80;                      ;010;6;0105459;KE  ;06031100;Roses               ; 0000000,7; 0000000,7;0000,72;Equinox
61341;Rs (EQU) Explorer Red         ;;;"  20-20  ";0000000001;080-X1-025;"V9  "    ; st.; 00025;0000,72;EUR  ;0000018,00;                      ;025;4;0000580;EC  ;06031100;Roses               ; 0000001,6; 0000001,6;0001,30;
15961;Rosa Gravity                  ;;;"  21-21  ";0000000001;050-X1-005;"E   "    ; st.; 00010;0000,64;EUR  ;0000006,40;                      ;010;3;0114747;KE  ;06031100;Roses               ; 0000000,5; 0000000,5;0001,14;Amor
70931;Rosa Malibu (rosa)            ;;;"  22-22  ";0000000001;070-A1-010;"V9  "    ; st.; 00010;0000,43;EUR  ;0000004,30;                      ;010;3;0013471;KE  ;06031100;Roses               ; 0000000,7; 0000000,7;0000,87;Sierra
21571;Rosa Peach Avalanche+         ;;;"  23-23  ";0000000001;060-A1-010;"V9  "    ; st.; 00010;0000,85;EUR  ;0000008,50;                      ;010;0;0029037;NL  ;06031100;Roses               ; 0000000,6; 0000000,6;0001,51;v.d. Berg RoseS Platinum
84131;Rosa Penny Lane (giallo)      ;;;"  24-24  ";0000000001;050-A1-010;"V9  "    ; st.; 00020;0000,46;EUR  ;0000009,20;                      ;010;2;0109164;KE  ;06031100;Roses               ; 0000001,5; 0000001,5;0000,85;Omang
03661;Rosa Red Naomi!               ;;;"  25-25  ";0000000001;040-A1-010;"V9  "    ; st.; 00020;0000,40;EUR  ;0000008,00;                      ;010;4;0027157;NL  ;06031100;Roses               ; 0000001,1; 0000001,1;0000,75;Scholtes Roses
54951;Rosa Flash Eye                ;;;"  27-27  ";0000000001;040-A1-005;"V9  "    ; st.; 00005;0000,72;EUR  ;0000003,60;                      ;005;4;0115938;NL  ;06031100;Roses               ; 0000000,1; 0000000,1;0001,27;Olij Collection
45291;Rosa Avalanche+               ;;;"  81-81  ";0000000001;070-X1-010;"E   "    ; st.; 00040;0000,44;EUR  ;0000017,60;                      ;010;1;0016207;NL  ;06031100;Roses               ; 0000005,0; 0000002,0;0000,89;Arend Roses Souplesse
