
HF/EdG Bloemenexport     ;;;;Date;04.05.16;;;
Postbus 524              ;;;;Invoice;16034331;;;
2675 ZT Honselersdijk    ;;;;Route;0348;0068;;
The Netherlands (NL);;;;Debno;060233;;;
NL007056011B01 ;;;;Debcode;IGF   ;H;;
;
;
;;;;Consegna            ;01IGF ;;;
Ingrosso Fiori Gambin SRL     ;;;;Ingrosso Fiori Gambin         ;;;;
Via dei Pestagalli 27         ;;;;                              ;;;;
20138 Milano                   ;;;;                               ;;;;
Italie              (IT);;;;Italie              (IT);;;;
IT09049900153   ;;;;                ;;;;
;
;
Artno;Description;;;Collis;Qual;Lng;Emb;Eenh;Quant;Price;Curr;Total;Barcode;Bunch;Color;VBN;Country;Statistics;Description;Gross;Net;Retail
15761;Rosa Savita+                  ;;;"  15-15  ";0000000001;060-A1-010;"E   "    ; st.; 00010;0000,49;EUR  ;0000004,90;                      ;010;1;0026774;NL  ;06031100;Roses               ; 0000003,5; 0000000,5;0000,94;Arend Roses Elegant
13731;Rosa Layla                    ;;;" 136-136 ";0000000001;080-X1-010;"V9  "    ; st.; 00010;0000,89;EUR  ;0000008,90;                      ;010;3;0111762;NL  ;06031100;Roses               ; 0000000,7; 0000000,7;0001,64;v.d. Berg RoseS Platinum
01627;Rosa Red Eagle                ;;;" 137-137 ";0000000007;050-A1-010;"V9  "    ; st.; 00010;0000,44;EUR  ;0000004,40;                      ;010;4;0116974;NL  ;06031100;Roses               ; 0000000,5; 0000000,5;0000,82;Arend Roses Elegant
86731;Rosa Roxy                     ;;;" 138-138 ";0000000001;060-A1-010;"V9  "    ; st.; 00010;0000,44;EUR  ;0000004,40;                      ;010;6;0114593;KE  ;06031100;Roses               ; 0000000,3; 0000000,3;0000,86;Amor
02614;Santini Ellison               ;;;"  16-16  ";0000000004;055-A1-100;"V9  "    ; st.; 00025;0000,36;EUR  ;0000009,00;                      ;025;3;0117771;NL  ;06031400;Chrysanten          ; 0000001,2; 0000001,2;0000,69;De Landscheiding
27701;Tulipano Yellow Pomponnet     ;;;"  17-17  ";0000000001;038-A1-045;"E   "    ; st.; 00050;0000,28;EUR  ;0000014,00;                      ;050;2;0021225;NL  ;06031970;Tulpen              ; 0000005,2; 0000002,2;0000,55;Gebr H&C Hoogeveen
07271;Tulipano DU Daladier          ;;;" 134-134 ";0000000001;042-A1-040;"E   "    ; st.; 00050;0000,29;EUR  ;0000014,50;                      ;050;3;0007853;NL  ;06031970;Tulpen              ; 0000004,0; 0000002,5;0000,57;Fa H A Zonneveld
     ;Codice               0IGF19                                                                            ;0000256,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00515;Cymbidium Mix  CYMB T GEM     ;;;"  42-42  ";0000000005;060-A1-009;"634 "    ; st.; 00009;0002,90;EUR  ;0000026,10;                      ;009;0;0000973;NL  ;06031300;Orchideeen          ; 0000000,7; 0000000,4;0005,25;W.P. Orchids
79071;Iperico Coco Diablo           ;;;"  43-43  ";0000000001;060-A1-000;"V9  "    ; st.; 00040;0000,39;EUR  ;0000015,60;                      ;020;4;0103686;KE  ;06031970;Diversen            ; 0000002,4; 0000002,4;0000,68;Florius BV
