ROSA;369;TR BABE;
ZANTEDESCHIA;370;FLOREX GOLD;
1ANTHURIUM;371;VITO;
1ANTHURIUM;372;BRASIL;
1BEGONIA;373;BORIAS;
1BEGONIA;374;BETULIA ORANGE;
1BONSAI;375;MIX;
1CALATHEA;376;MIX;
1CAMPANULA;377;MIX;
1CAMPANULA;378;ATLANTA WHITE;
1CAMPANULA;379;ROYAL;
1CODIAEUM;380;GOLD STAR;
CRASSULA;381;MIX;
1CRASSULA;382;MIX;
1DECORATIVE;383;CESTO WELCOME;
1EXACUM;384;B LUE;
1EXACUM;385;MIX;
1HIBISCUS;386;ROSA;
1HIBISCUS;387;MIX;
1HYDRANGEA;388;HOT RED;
1KALANCOE;389;CALANDIVA;
1LILIUM;390;SOUVENIR;
1MILTONIA;391;MIX;
1PHALENOPSIS;392;PINK DANCER 1 RAMO;
1PHALENOPSIS;393;3 RAMI;
1PHALENOPSIS;394;VETRO;
1PHALENOPSIS;395;4 RAMI!!!;
1PHALENOPSIS;396;IKARIA;
1PLATYCODON;397;ASTRA BLUE;
1ROSA;398;RED;
1ROSA;399;FOREVER;
1SAINTPAULIA;400;MINI;
1SAINTPAULIA;401;CITY TANGO;
1SAINTPAULIA;402;INOVA CHIMERA;
1SAINTPAULIA;403;MIX;
1SINNINGIA;404;MIX;
1SPATHIPHYLLUM;405;MOZART;
1STREPTOCARPUS;406;SNOWFLAKE;
ROSA;407;WHITE NIGHTS;
EUCHARIS;408;GRANDIFLORA;
NELUMBO;409;NUCIFERA;
ANANAS;410;MIDDEL;
CELOSIA;411;PERSIMMON CHIEF;
CELOSIA;412;ACT DARA;
DELPHINIUM;413;VOLKERFRIED;
EUSTOMA;414;ADOM;
EUSTOMA;415;ROSITA WHITE;
GYPSOPHILA;416;MY PINK;
HELICONIA;417;TROPICAL;
HIPPAESTRUM;418;LIBERTY;
HYPERICUM;419;ROSA;
PHALENOPSIS;420;SINGAPORE;
PROTEA;421;GROEN;
PROTEA;422;SUSARA;
ROSA;423;EL TORO;
ROSA;424;KENJI;
ROSA;425;TR CREAM GRACIA;
PHOENIX;426;ROEBELLINI;
ZANTEDESCHIA;427;CAPTAIN ROMANCE;
ALPINIA;428;GINGER MIX;
ALLIUM;429;AMBASSADOREX;
ALSTROMERIA;430;GEMENGD;
DIANTHUS;431;WILL WHITE;
HYDRANGEA;432;CHALLENGE;
HYPERICUM;433;MAGICAL RED;
PROTEA;434;ROBIN;
ROSA;435;TWO FACES;
ROSA;436;AMALIA;
ROSA;437;FIREBIRD;
ROSA;438;PRADO;
ROSA;439;TWEETY+ NEW!!;
ROSA;440;VANILLA SKY;
THLASPI;441;GREEN BELL;
VANDA;442;EXOTIC RED;
VIBURNUM;443;ROSEUM;
AMARANTHUS;444;GROEN;
CRISANTEMINA;445;SANTINI;
EUSTOMA;446;PICOT PINK;
EUSTOMA;447;OV ROZE;
HYPPEASTRUM;448;SHOWMASTER;
HYDRANGEA;449;ELBTAL LAVE;
HYDRANGEA;450;GOURINET;
HYPERICUM;451;COCO CHERIE;
HYPERICUM;452;CHERRY;
ORNITOGALLO;453;SUNDERSIAE;
ROSA;454;RED RANUNCOLA;
ROSA;455;YELLOW FINESSE;
1ANTHURIUM;456;MIX;
1ANTHURIUM;457;ORANGE LOVE;
1ANTHURIUM;458;SYMBOL;
1CELOSIA;459;ARGENTEA;
1EUPHORBIA;460;MILII...MIX;
1GERBERA;461;MINI;
1PHALENOPSIS;462;RED LIPS;
1SPATHIPHYLLUM;463;SWEET SILVIO;
