Dec 29 18:04:20|5[info]29/12/2015 18:04:20 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:04:26|5[info]29/12/2015 18:04:26 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:04:38|5[info]29/12/2015 18:04:38 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:04:43|5[info]29/12/2015 18:04:43 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:04:47|5[info]29/12/2015 18:04:47 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 17][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:04:55|5[info]29/12/2015 18:04:55 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 17][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:05:00|5[info]29/12/2015 18:05:00 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 17][pageID = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:05:16|5[info]29/12/2015 18:05:16 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][pageID = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:05:19|5[info]29/12/2015 18:05:19 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:05:40|5[info]29/12/2015 18:05:40 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Orders][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:05:43|5[info]29/12/2015 18:05:43 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Orders][order_by = data_inserimento_riga][order_type = ASC][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:05:49|5[info]29/12/2015 18:05:49 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Orders][order_by = data_inserimento_riga][order_type = DESC][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:05:56|5[info]29/12/2015 18:05:56 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:06:29|5[info]29/12/2015 18:06:29 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
